"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"4-H PSG B04",1649,10.77,33.48,33,"OR","","PTT B04 Premier Green","Spr OYS B04 Premier Green",""
"PCU Red 1 B04",1587,17.57,13.33,49,"OR","Portland","PTT B04 Premier Green","Spr OYS B04 Premier Green","FWRL NW B04"
"Crossfire Yakima A B04",1577,23.99,9.09,26,"WA","Yakima","RCL B04 Div 1","",""
"Spokane Sounders A B04",1538,14.47,11.5,40,"WA","Spokane","RCL B04 Div 1","","FWRL NW B04"
"Crossfire Premier A B04",1517,14.88,9.68,43,"WA","Redmond","RCL B04 Div 2","",""
"GS Surf A B04",1511,14.84,9.32,42,"WA","Bothel","RCL B04 Div 1","","FWRL NW B04"
"ISC Gunners A Blue B04",1488,14.86,7.93,38,"WA","Issaquah","PSPL WNPL U14","",""
"Spokane Pumas B04",1481,13.3,8.42,42,"WA","Spokane","PSPL WNPL U14","",""
"3 Rivers Black B04",1479,14,7.88,29,"WA","Pasco","RCL B04 Div 1","",""
"Idaho Rush Premier B04",1476,9.99,10.82,19,"ID","Boise","Idaho D3 Div 1 U14","",""
"FPSC Fury Black B04",1475,9.65,11.18,40,"WA","Tacoma","PSPL WNPL U14","",""
"NW United Black B04",1453,11.23,8.24,51,"WA","Burlington","RCL B04 Div 1","","FWRL NW B04"
"Seattle United Copa B04",1443,10.55,8.17,33,"WA","Seattle","RCL B04 Div 1","","FWRL NW B04"
"Wenatchee Valley United Quincy B04",1437,14,5.89,27,"WA","Quincy","PSPL WSPL U14","",""
"PacNW Maroon B04",1435,10.66,7.66,38,"WA","Tukwila","RCL B04 Div 1","",""
"GPS Oregon B04",1421,11.76,6.32,26,"OR","","PTT B04 Premier Green","Spr OYS B04 Premier Green",""
"FC Nova Gold B04",1419,11.22,6.49,26,"ID","Boise","Idaho D3 Div 1 U14","",""
"Kent City Red B04",1417,13.13,5.5,14,"WA","Kent","PSPL WNPL U14","",""
"Southside SC Azul B04",1406,9.72,6.87,45,"OR","Tigard","PTT B04 Premier Green","Spr OYS B04 Premier Green",""
"NSC Green B04",1404,8.33,7.92,33,"WA","Woodinvile","NPSL DIVISION 1 (04) U14","","Founders Cup B04 Div A"
"Crossfire Select Pombo B04",1390,6.59,9.05,35,"WA","Redmond","NPSL DIVISION 1 (04) U14","","Founders Cup B04 Div A"
"WPFC Black B04",1386,8.52,6.81,41,"WA","Tacoma","RCL B04 Div 1","",""
"HSC Munchen B04",1377,6.9,7.92,20,"OR","Hillboro","PTT B04 Premier White","Spr OYS B04 Premier White",""
"Irish Black Hawks B04",1372,10.22,5.14,23,"WA","","NPSL DIVISION 1 (04) U14","",""
"Whatcom Rangers Gold B04",1369,8.16,6.33,33,"WA","Bellingham","RCL B04 Div 1","",""
"4-H FC Joga B04",1368,9.78,5.26,33,"OR","","PTT B04 Premier Green","Spr OYS B04 Premier Green",""
"ETFC Santos Black B04",1364,7.79,6.41,40,"OR","Eugene","PTT B04 Premier White","Spr OYS B04 Premier Green",""
"Liga Tlaxtli FC Guerreros B04",1363,7.54,6.59,25,"WA","","","",""
"Blackhills FC Black B04",1354,8.49,5.49,37,"WA","Olympia","RCL B04 Div 1","",""
"Boise Nationals Timbers Blue B04",1346,9.46,4.66,29,"ID","Boise","Idaho D3 Div 1 U14","","FWRL NW B04"
"FWFC Blue B04",1346,10.16,4.33,41,"WA","Federal Way","RCL B04 Div 2","",""
"Academia de Futebol ADF B04",1337,8.83,4.69,34,"OR","Portland","PTT B04 Premier Green","Spr OYS B04 Premier Green",""
"Washington Timbers Red 2 B04",1337,8.44,4.9,38,"WA","Vancouver","PTT B04 Premier White","Spr OYS B04 Premier White",""
"TC United Navy B04",1323,7.97,4.69,29,"WA","Lacey","PSPL WSPL U14","",""
"Seattle United Tango B04",1312,9.02,3.86,41,"WA","Seattle","RCL B04 Div 2","",""
"FC Salmon Creek White B04",1309,8.01,4.25,35,"WA","Salmon Creek","PTT B04 Premier Green","Spr OYS B04 Premier Green",""
"Washington East SC B04",1306,8.84,3.78,26,"WA","Spokane","PSPL WSPL U14","",""
"FC Edmonds Force B04",1304,8.26,3.97,33,"WA","Edmonds","PSPL WNPL U14","",""
"Emerald City FC Green B04",1303,8.89,3.69,32,"WA","Seattle","PSPL WSPL U14","",""
"BIFC Blue B04",1299,5.39,5.9,31,"WA","Bainbridge Island","NPSL DIVISION 1 (04) U14","","Founders Cup B04 Div A"
"Eastside FC White B04",1297,8.54,3.66,46,"WA","Preston","RCL B04 Div 2","","FWRL NW B04"
"Crossfire Premier B B04",1296,3.78,8.22,48,"WA","Redmond","RCL B04 Div 2","",""
"Washington Timbers White 1 B04",1293,4.45,6.86,32,"WA","Vancouver","PTT B04 Div 1 White","Spr OYS B04 Div 1 Green","OYS Presidents Cup B04"
"Sting SC Timbers Red B04",1276,5.74,4.73,37,"ID","Coeur D'Alene","PSPL Classic 1 - East U14","",""
"PacNW Blue B04",1273,8.01,3.3,46,"WA","Tukwila","RCL B04 Div 2","",""
"Slammers Orange B04",1267,7.41,3.43,39,"WA","Auburn","RCL B04 Div 3","",""
"Seattle United W Blue B04",1266,5.6,4.51,33,"WA","Seattle","NPSL DIVISION 1 (04) U14","","Founders Cup B04 Div A"
"Canyon Optimist Inferno B04",1261,7.67,3.17,21,"ID","Caldwell","Idaho D3 Div 1 U14","",""
"Eclipse FC Aguilitos del America B04",1258,7.87,3.04,25,"WA","","PSPL Classic 1 - West U14","",""
"NPSA Titans Navy B04",1257,5.69,4.18,29,"WA","Bellevue","PSPL WNPL U14","",""
"4-H McMinnville United B04",1248,7.05,3.17,17,"OR","","PTT B04 Premier White","Spr OYS B04 Premier White",""
"Seattle Celtic Green B04",1245,7.62,2.86,30,"WA","Seattle","PSPL Classic 1 - West U14","",""
"Crossfire Oregon Green I B04",1243,4.98,4.34,38,"OR","Lake Oswego","PTT B04 Premier White","Spr OYS B04 Premier White",""
"Highline SA Rebano B04",1242,6.34,3.37,29,"WA","","NPSL DIVISION 3 (04) U14","","Founders Cup B04 Div A"
"Wenatchee FC Black B04",1234,5.44,3.73,27,"WA","Wenatchee","PSPL Classic 1 - East U14","",""
"Bend FC Timbers Red B04",1224,6.79,2.78,35,"OR","Bend","PTT B04 Premier White","Spr OYS B04 Premier Green",""
"Hood River Dynamos B04",1222,6.17,3.03,10,"OR","Hood River","PTT B04 Div 1 Green","",""
"Wenatchee Valley United ML B04",1216,4.73,3.79,10,"WA","Wenatchee","PSPL Classic 1 - East U14","",""
"Westside Timbers Copa B04",1216,5.82,3.07,42,"OR","Beaverton","PTT B04 Div 1 Green","Spr OYS B04 Div 1 Green","FWRL NW B04, OYS Presidents Cup B04"
"ISC Gunners A White B04",1212,5.8,2.99,29,"WA","Issaquah","PSPL Classic 1 - West U14","",""
"Wenatchee Valley United La Raza B04",1210,6.53,2.63,22,"WA","Quincy","PSPL Classic 1 - East U14","",""
"PCU Red 2 B04",1209,5.53,3.08,40,"OR","Portland","PTT B04 Premier White","Spr OYS B04 Premier White",""
"Harbor Premier Green B04",1203,6.62,2.47,38,"WA","Gig Harbor","RCL B04 Div 2","",""
"MSC Gold B04",1200,4.97,3.21,8,"ID","","Idaho D3 Div 2 U14","",""
"PacNW White B04",1196,5.6,2.77,28,"WA","Tukwila","RCL B04 Div 4","",""
"Seattle United Shoreline Blue B04",1190,5.79,2.58,29,"WA","Shoreline","NPSL DIVISION 1 (04) U14","","Founders Cup B04 Div A"
"Storm King B04",1188,7.26,2.03,16,"WA","Port Angeles","NPSL DIVISION 1 (04) U14","",""
"Eastside FC Blue B04",1181,4.55,3.09,35,"WA","Preston","RCL B04 Div 2","",""
"Highline SA B04",1180,3.92,3.56,20,"WA","","NPSL DIVISION 1 (04) U14","",""
"Capital FC Timbers Red B04",1177,6.11,2.23,30,"OR","Salem","PTT B04 Div 1 Green","Spr OYS B04 Premier Green","OYS Presidents Cup B04"
"NK Crew B04",1172,4.69,2.81,37,"WA","Poulsbo","PSPL WSPL U14","","Founders Cup B04 Div A"
"Pumas UNAM B04",1167,5.97,2.14,32,"WA","Seattle","PSPL Classic 1 - West U14","",""
"Kent City White B04",1164,3.64,3.41,25,"WA","Kent","PSPL Classic 2 - West U14","",""
