"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","other .colname"
"WPFC Black B99",2305,253.83,133.31,28,"WA","Tacoma","RCL B99 Div 1",""
"Seattle United Copa B99",2282,201.06,143.79,25,"WA","Seattle","RCL B99 Div 1",""
"Three Rivers Hagedorn B99",2252,94.32,248.27,14,"WA","Pasco","",""
"FC Portland Navy B99",2224,162.97,118.79,8,"OR","Portland","",""
"Whatcom Rangers Gold B99",2177,155.99,89.56,26,"WA","Bellingham","RCL B99 Div 2",""
"Wenatchee Valley United Aguilitas B99",2171,159.55,83.92,21,"WA","Wenatchee","PSPL WNPL U19","WA Cup Gold U19"
"WPFC White B99",2170,127.31,104.42,36,"WA","Tacoma","RCL B99 Div 1",""
"Washington East SC B99",2169,160.98,82.27,26,"WA","Spokane","PSPL WNPL U19",""
"Eastside FC Red B99",2159,97.64,126.37,32,"WA","Preston","RCL B99 Div 1",""
"Crossfire Oregon Green I B99",2154,120.77,98.37,10,"OR","Lake Oswego","",""
"Portland Spartans FC Academy B99",2153,112.02,105.46,13,"OR","Portland","",""
"Crossfire Premier A B99",2141,114.96,94.48,30,"WA","Redmond","RCL B99 Div 1",""
"Washington Timbers Red 1 B99",2110,182.21,48.13,12,"WA","Vancouver","RCL B99 Div 1",""
"PacNW Maroon B99",2107,156.44,55.15,25,"WA","Tukwila","RCL B99 Div 1",""
"Central WA SA Navy B99",2094,127.42,61.47,32,"WA","Yakima","PSPL WNPL U19",""
"Lake Hills Synergy B99",2068,123.44,53.03,28,"WA","Bellevue","RCL B99 Div 2",""
"North Idaho Inferno B99",2059,70.64,87.21,21,"ID","Post Falls","",""
"Westside Timbers Copa B99",2057,108.82,55.95,23,"OR","Beaverton","",""
"PCU Red B99",2055,76.75,78.29,32,"OR","Portland","",""
"Capital FC Timbers Red B99",2049,114.46,50.32,18,"OR","Salem","",""
"LASC Cuervos B99",2044,79.22,70.06,22,"OR","NE Portland","PTT B00 BHS",""
"Crossfire Select Taylor B99",2039,66.04,81,23,"WA","Redmond","NPSL DIVISION 1 (99) U19",""
"Highline Premier Heat Blue B99",2033,83.08,62.11,22,"WA","Burien","PSPL WNPL U19",""
"PacNW Blue B99",2030,111.99,44.88,35,"WA","Tukwila","RCL B99 Div 2",""
"Santos FC Cruzeiro B99",2027,92.92,53.06,16,"OR","Hubbard","",""
"3 Rivers Black B99",2022,95.42,50.05,20,"WA","Pasco","RCL B99 Div 1",""
"Tynecastle FC B99",2018,102.16,45.35,25,"WA","Everett","PSPL WNPL U19","WA Cup Gold U19"
"Gala FC A B99",2008,95.63,45.25,29,"WA","Marysville","PSPL WNPL U19","WA Cup Gold U19"
"MPC Timbers B99",2007,79.23,54.11,10,"OR","","",""
"Seattle United S Blue B99",2005,78.44,53.9,24,"WA","Seattle","NPSL DIVISION 1 (99) U19",""
"MRFC Blue B99",2001,111.17,37.18,34,"WA","Sumner","PSPL WSPL U19","WA Cup Gold U19"
"3 Rivers Green B99",2001,70.8,58.3,10,"WA","Pasco","PSPL Classic - East U19",""
"RSA Elite B99",1995,92.56,42.61,29,"WA","Puyallup","PSPL WSPL U19","WA Cup Gold U19"
"Spokane Sounders A B99",1981,76.33,47.1,19,"WA","Spokane","RCL B99 Div 1",""
"FPSC Fury Black B99",1974,83.69,41,31,"WA","Tacoma","PSPL WNPL U19","WA Cup Gold U19"
"Eastside Timbers Red B99",1969,83.01,39.67,25,"OR","Gresham","",""
"GS Surf A B99",1968,57.68,56.83,21,"WA","Bothel","RCL B99 Div 1",""
"WPFC Navy B99",1967,82.89,39.38,24,"WA","Tacoma","RCL B99 Div 3",""
"BIFC Blue B99",1963,78.99,40.12,26,"WA","Bainbridge Island","NPSL DIVISION 1 (99) U19",""
"GS Surf B B99",1958,75.27,40.75,26,"WA","Bothel","RCL B99 Div 2",""
"FC Edmonds Forza B99",1955,73.26,40.86,25,"WA","Edmonds","PSPL Classic - West U19","WA Cup Silver U19"
"Idaho Rush Premier B99",1949,75.18,38.31,20,"ID","Boise","",""
"Walla Walla United B99",1942,94.85,28.83,10,"WA","Walla Walla","PSPL Classic - East U19",""
"Eastside FC White B99",1934,57.41,45.27,27,"WA","Preston","RCL B99 Div 2",""
