"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","spr.league .colname","other .colname"
"Crossfire Premier ECNL G01",2182,128.78,112.56,8,"WA","Redmond","",""
"Spokane Sounders A G01",2042,68.36,80.2,24,"WA","Spokane","Win RCL G01 Div 1","WYS Championship G01"
"Portland Thorns Academy G01",2010,87.93,50.09,24,"OR","","Win OYS G00 Premier","FWRL01"
"PacNW Maroon G01",1955,90.2,33.19,39,"WA","Tukwila","Win RCL G01 Div 1","FWRL01, National League U16, WYS Championship G01"
"GS Surf A G01",1824,43.42,27.89,30,"WA","Bothel","Win RCL G01 Div 2","FWRL01, WYS Championship G01"
"Eastside FC Red G01",1796,34.75,28.61,39,"WA","Preston","Win RCL G01 Div 1","FWRL01, WYS Championship G01"
"Capital FC Timbers Red G01",1783,20.65,44.03,30,"OR","Salem","Win OYS G01 Premier","FWRL01, OYS State Cup G01"
"Whatcom FC Rangers Gold G01",1778,32.45,27.13,27,"WA","Bellingham","Win RCL G01 Div 2","WYS Championship G01"
"Harbor Premier Green G01",1773,37.26,22.8,30,"WA","Gig Harbor","Win RCL G01 Div 2","WYS Presidents Cup G01 Div 1"
"WA Rush G01",1771,37.33,22.48,33,"WA","Everett","Win RCL G01 Div 1","WYS Championship G01"
"WPFC Black G01",1750,27.88,25.89,25,"WA","Tacoma","Win RCL G01 Div 1","WYS Championship G01"
"ASE Emerald G01",1746,35.27,19.93,27,"WA","Pasco","Win PSPL WSPL 1 (01) U16","WA Cup Gold Div"
"Seattle United Copa G01",1739,20.92,32.07,27,"WA","Seattle","Win RCL G01 Div 1","FWRL01, WYS Championship G01"
"Three Rivers SC Black G01",1710,23.43,23.35,16,"WA","Pasco","Win RCL G01 Div 3","WYS Presidents Cup G01 Div 1"
"ISC Gunners A G01",1701,22.72,22.7,34,"WA","Issaquah","Win PSPL WSPL 1 (01) U16","WA Cup Gold Div"
"Crossfire OR Blue I G01",1701,17.91,28.75,29,"OR","Tigard","Win OYS G01 Premier","OYS State Cup G01"
"Indie Chicas G01",1693,20.79,23.39,17,"ID","Eagle","Spr Idaho D3 U15/16 Div 1","ID State Cup U16"
"RV Slammers Orange G01",1658,16.82,22.78,30,"WA","Auburn","Win RCL G01 Div 1","WYS Championship G01"
"Crossfire Premier A G01",1656,22.04,17.11,40,"WA","Redmond","Win RCL G01 Div 1","WYS Championship G01"
"Idaho Rush Premier G01",1650,23.6,15.29,19,"ID","Boise","Spr Idaho D3 U15/16 Div 1","ID State Cup U16"
"Eastside FC White G01",1636,16.37,20.13,28,"WA","Preston","Win RCL G01 Div 2","WYS Presidents Cup G01 Div 1"
"Rogue Valley Timbers Red G01",1618,21.5,13.53,15,"OR","Medford","Win OYS G01 Premier","OYS State Cup G01"
"Washington Timbers Red 1 G01",1618,15.75,18.37,33,"WA","Vancouver","Win OYS G01 Premier","OYS State Cup G01"
"CWSA Navy G01",1603,34.67,7.56,21,"WA","Yakima","Win PSPL WSPL 1 (01) U16","WA Cup Gold Div"
"Spokane Foxes Premier G01",1601,22.72,11.38,22,"WA","Spokane","Win PSPL WSPL 1 (01) U16","WA Cup Gold Div"
"PacNW Blue G01",1601,15.12,17.04,33,"WA","Tukwila","Win RCL G01 Div 2","WYS Presidents Cup G01 Div 1"
"Crossfire Select Granston G01",1599,16.53,15.37,39,"WA","Redmond","Win NPSL Div 1 (01) U16","WYS Presidents Cup G01 Div 2"
"NW United Black G01",1582,14.36,15.76,38,"WA","Burlington","Win RCL G01 Div 3","WYS Presidents Cup G01 Div 1"
"ETFC Cypress Black G01",1579,16.47,13.45,28,"OR","Eugene","Win OYS G01 Premier","FWRL01, OYS State Cup G01"
"Blackhills FC Black G01",1573,21.28,9.99,28,"WA","Olympia","Win RCL G01 Div 3","WYS Presidents Cup G01 Div 1"
"FC Portland Navy G01",1572,13.36,15.73,28,"OR","Portland","Win OYS G01 Premier","OYS State Cup G01"
"Spokane Sounders B G01",1568,16.46,12.42,29,"WA","Spokane","Win RCL G01 Div 3","WYS Presidents Cup G01 Div 1"
"Sting SC Timbers G01",1565,17.58,11.42,19,"ID","","Spr Idaho D3 U15/16 Div 1, Win PSPL WSPL 1 (01) U16","ID State Cup U16"
"PVSC United Athena G01",1556,6.54,28.93,11,"ID","","",""
"GS Surf B G01",1549,14.94,12.02,23,"WA","Bothel","Win RCL G01 Div 3","WYS Presidents Cup G01 Div 1"
"Pacific FC Ice G01",1541,17.49,9.72,31,"WA","Battleground","Win OYS G01 Div 1 Red","OYS Presidents Cup G01"
"FPSC Fury Black G01",1541,17.42,9.74,33,"WA","Tacoma","Win PSPL WSPL 2 (01) U16","WA Cup Silver Div"
"Snohomish United Black G01",1540,13.8,12.21,33,"WA","Snohomish","Win RCL G01 Div 2","WYS Presidents Cup G01 Div 1"
"Bend FC Timbers Red G01",1535,15.35,10.64,18,"OR","Bend","Win OYS G01 Premier","OYS State Cup G01"
"MIFC Maroon G01",1520,16.32,9.01,34,"WA","Mercer Island","Win NPSL Div 1 (01) U16","WYS Presidents Cup G01 Div 2"
"NPSA Titans Navy G01",1517,12.73,11.32,32,"WA","Bellevue","Win PSPL WSPL 2 (01) U16","WA Cup Silver Div"
"Kitsap Alliance Red G01",1516,12.19,11.72,29,"WA","Silverdale","Win RCL G01 Div 2","WYS Presidents Cup G01 Div 1"
"Seattle United Tango G01",1510,10,13.74,25,"WA","Seattle","Win RCL G01 Div 2","WYS Presidents Cup G01 Div 1"
"FC Nova Red G01",1509,10.98,12.4,15,"ID","Boise","Spr Idaho D3 U15/16 Div 1","ID State Cup U16"
"PCU Red 1 G01",1501,13.83,9.3,30,"OR","Portland","Win OYS G01 Div 1 Red","OYS State Cup G01"
"Crossfire OR Blue II G01",1500,10.79,11.85,27,"OR","Tigard","Win OYS G01 Div 1 Red","OYS Presidents Cup G01"
"WPFC White G01",1499,16.76,7.56,32,"WA","Tacoma","Win RCL G01 Div 3","WYS Presidents Cup G01 Div 2"
"Crossfire Premier B G01",1492,11.86,10.21,35,"WA","Redmond","Win RCL G01 Div 3","WYS Presidents Cup G01 Div 1"
"Crossfire Select Wilkinson G01",1485,12.63,9.11,24,"WA","Redmond","Win NPSL Div 1 (01) U16",""
"Kent United Green G01",1472,11.54,9.12,25,"WA","Kent","Win NPSL Div 1 (01) U16","WYS Presidents Cup G01 Div 1"
"FME Fusion G01",1463,11.32,8.72,20,"WA","Fife","Win NPSL Div 1 (01) U16",""
"BYSL Ballistic SC G01",1456,11.68,8.08,16,"ID","","","ID State Cup U16"
"WA East G01",1450,12.19,7.4,25,"WA","Spokane","Win PSPL WSPL 1 (01) U16","WA Cup Gold Div"
"South Whidbey Reign G01",1444,9.11,9.52,19,"WA","","Win NPSL Div 3 (01) U16","WYS Presidents Cup G01 Div 2"
"Crossfire OR CUSC Red Power Rays G01",1440,7.93,10.63,21,"OR","Clackamas","Win OYS G01 Div 1 Red","OYS Presidents Cup G01"
"Wenatchee Valley United G01",1433,13.11,6.13,20,"WA","Wenatchee","Win PSPL WSPL 2 (01) U16","WA Cup Silver Div"
"FC Portland White G01",1425,9.65,7.9,31,"OR","Portland","Win OYS G01 Div 1 Red","OYS Presidents Cup G01"
"Boise Nationals Timbers Blue G01",1423,12.64,5.94,10,"ID","Boise","Spr Idaho D3 U15/16 Div 1","ID State Cup U16"
"NSC Reign G01",1419,9.63,7.6,19,"WA","Woodinvile","Win NPSL Div 1 (01) U16","WYS Presidents Cup G01 Div 1"
"Breakers Black Andersson G01",1410,6.8,10.08,31,"WA","Spokane","Win PSPL WSPL 2 (01) U16","WA Cup Gold Div"
"PSA Force G01",1390,7.73,7.7,24,"WA","Marysville","Win NPSL Div 1 (01) U16",""
"BIFC White G01",1380,8.52,6.54,16,"WA","Bainbridge","Win NPSL Div 2 (00) U17","WYS Presidents Cup G01 Div 2"
"Capital FC Timbers White G01",1380,8.28,6.71,8,"OR","Salem","",""
"Shoreline SC Verrou G01",1378,4.33,12.68,13,"WA","Shoreline","Win PSPL Classic 2 (01) U16",""
"Whatcom FC Rangers Blue G01",1371,7.88,6.64,26,"WA","Bellingham","Win RCL G01 Div 4","WYS Presidents Cup G01 Div 2"
"THUSC Xenon G01",1364,8.69,5.72,28,"OR","Tualatin Hills","Win OYS G01 Div 1 Red","OYS Presidents Cup G01"
"Nortac Sparta Red G01",1351,8.1,5.62,29,"WA","Tacoma","Win PSPL Classic 1 (01) U16","WA Cup Silver Div"
"Emerald City FC Green G01",1350,7.84,5.76,16,"WA","Seattle","Win PSPL WSPL 2 (01) U16","WA Cup Gold Div"
"Seattle United S Blue G01",1340,7.13,5.92,29,"WA","Seattle","Win NPSL Div 2 (00) U17","WYS Presidents Cup G01 Div 2"
"MRFC Blue G01",1339,7.06,5.95,23,"WA","Bonney Lake","Win PSPL Classic 1 (01) U16","WA Cup Silver Div"
"Eastside Timbers Red G01",1321,6.68,5.55,29,"OR","Gresham","Win OYS G01 Premier","OYS State Cup G01"
"Three Rivers SC Green G01",1319,6.04,6.06,16,"WA","Pasco","Win RCL G01 Div 4","WYS Presidents Cup G01 Div 2"
"Seattle United Shoreline Blue G01",1314,8.21,4.29,19,"WA","Seattle","Win NPSL Div 2 (00) U17","WYS Presidents Cup G01 Div 2"
"Crossfire Yakima G01",1308,8.41,4.03,21,"WA","Yakima","Win RCL G01 Div 4","WYS Presidents Cup G01 Div 2"
"Valor Maroon Del Pizzo G01",1305,7.07,4.67,8,"WA","Spokane","Spr PSPL-Inland Copa 1 U16",""
"PacNW White G01",1302,5.61,5.78,26,"WA","Tukwila","Win RCL G01 Div 4",""
"Pacific FC Blue G01",1298,7.21,4.39,29,"WA","Battleground","Win OYS G01 Div 1 Red","WYS Presidents Cup G01 Div 2"
"RV Slammers White G01",1297,5.91,5.32,22,"WA","Auburn","Win RCL G01 Div 3","WA Cup Bronze Div"
"FWFC Blue G01",1294,7.87,3.91,28,"WA","Federal Way","Win RCL G01 Div 4","WYS Presidents Cup G01 Div 2"
"Idaho Rush Nero G01",1291,6.65,4.53,16,"ID","Boise","Spr Idaho D3 U16G Div 2",""
"Lake Hills Extreme G01",1270,6.83,3.79,29,"WA","Bellevue","Win NPSL Div 2 (00) U17","WYS Presidents Cup G01 Div 2"
"Eastside FC Blue G01",1259,5.3,4.55,29,"WA","Preston","Win RCL G01 Div 4","WYS Presidents Cup G01 Div 2"
"Westside Timbers Copa TS G01",1245,3.96,5.51,25,"OR","Beaverton","Win OYS G01 Div 1 Red","OYS Presidents Cup G01"
"Granite Falls Thunderbirds G01",1241,5.64,3.76,12,"WA","Granite Falls","Win NPSL Div 3 (01) U16",""
"TC United Navy G01",1237,4.38,4.72,21,"WA","Lacey","Win PSPL Classic 1 (01) U16","WA Cup Gold Div"
"RSA Elite Mejia G01",1237,3.68,5.6,24,"WA","Puyallup","Win PSPL WSPL 2 (01) U16","WA Cup Silver Div"
"Capital FC Timbers Black G01",1229,4.56,4.28,16,"OR","Salem","Win OYS G01 Div 1 Red","OYS Presidents Cup G01"
"Seattle United NE Blue G01",1221,6.46,2.86,22,"WA","Seattle","Win NPSL Div 2 (00) U17","WYS Presidents Cup G01 Div 2"
"FC Bellevue G01",1220,8.07,2.28,13,"WA","Bellevue","Win PSPL Classic 1 (01) U16",""
"Kent United White G01",1210,4.39,3.9,32,"WA","Kent","Win NPSL Div 2 (00) U17","WYS Presidents Cup G01 Div 2"
"PCU Red 2 G01",1205,6.25,2.66,17,"OR","Portland","Win OYS G01 Div 1 White","OYS Presidents Cup G01"
"Hells Canyon FC G01",1199,4.26,3.73,8,"ID","","Spr PSPL-Inland Copa 1 U16",""
"BIFC Black G01",1189,1.86,7.96,18,"WA","Bainbridge","Win NPSL Div 3 (01) U16",""
"Washington Timbers White 1 G01",1188,4.71,3.13,25,"WA","Vancouver","Win OYS G01 Div 1 White","OYS Presidents Cup G01"
"Blue Mountain Timbers G01",1186,5.66,2.56,8,"WA","","Spr PSPL-Inland Copa 1 U16",""
"Spokane Sounders C G01",1184,2.98,4.81,26,"WA","Spokane","Win RCL G01 Div 4","WYS Presidents Cup G01 Div 2"
"Fuerza FC Academy G01",1180,7.07,1.97,18,"WA","Marysville","Win PSPL Classic 2 (01) U16","WA Cup Bronze Div"
"Pacific FC Force G01",1176,4.85,2.8,18,"WA","Battleground","Win OYS G01 Div 1 White",""
"Blackhills FC Red G01",1171,4.83,2.71,19,"WA","Olympia","Win RCL G01 Div 4",""
"Snohomish United Red G01",1168,5.27,2.44,28,"WA","Snohomish","Win RCL G01 Div 4","WYS Presidents Cup G01 Div 2"
"Eastside Timbers Black G01",1167,4.58,2.77,13,"OR","Gresham","Win OYS G01 Div 1 White","OYS Presidents Cup G01"
"Seattle United W Blue G01",1144,3.02,3.61,23,"WA","Seattle","Win NPSL Div 3 (01) U16",""
"Crossfire OR Blue III G01",1139,2.12,4.94,18,"OR","Tigard","Win OYS G01 Div 1 White",""
"Crossfire OR CUSC Black Eruption G01",1138,3.62,2.86,22,"OR","Clackamas","Win OYS G01 Div 1 White",""
"UPSC Blue Starz G01",1118,3.99,2.27,14,"WA","University Place","Win PSPL Classic 2 (01) U16",""
"Bellevue United Lee G01",1117,3.63,2.47,16,"WA","Bellevue","Win NPSL Div 3 (01) U16","WYS Presidents Cup G01 Div 2"
"FWFC Fireballs G01",1106,3.46,2.42,12,"WA","Federal Way","Win NPSL Div 3 (01) U16",""
"ISC Gunners B G01",1092,4.67,1.63,20,"WA","Issaquah","Win PSPL Classic 2 (01) U16","WA Cup Bronze Div"
"PCSC Comets Black G01",1075,2.54,2.65,10,"WA","North Tacoma","Win PSPL Classic 2 (01) U16",""
"Sun Valley Blue G01",1073,4.15,1.6,11,"ID","Sun Valley","Spr Idaho D3 U16G Div 2",""
"RSA Elite Christenson G01",1073,1.94,3.43,25,"WA","Puyallup","Win PSPL Classic 1 (01) U16","WA Cup Bronze Div"
"Cascade Rush G01",1067,2,3.18,10,"OR","","Win OYS G01 Div 1 Red",""
"PCU Black G01",1064,3.26,1.91,19,"OR","Portland","Win OYS G01 Div 1 White",""
"HSC GPS Oregon G01",1062,2.57,2.39,10,"OR","Hillsboro","Win OYS G01 Div 1 White",""
"Breakers White Georgeadis G01",1058,3.58,1.67,17,"WA","Spokane","Spr PSPL-Inland Copa 1 U16",""
"CSC Velocity Green G01",1030,2.01,2.45,24,"WA","Renton","Win PSPL Classic 1 (01) U16","WA Cup Bronze Div"
"TFA Willamette G01",1024,1.75,2.7,13,"OR","","Win OYS G01 Div 1 White","OYS Presidents Cup G01"
"Whatcom FC Rangers White G01",988,1.76,2.08,9,"WA","Bellingham","",""
"4H Hurricanes G01",965,2.34,1.34,10,"OR","","Win OYS G01 Div 1 White",""
"GS Surf C G01",957,1.63,1.82,24,"WA","Bothel","Win RCL G01 Div 4",""
"Bellevue United Nicholson G01",957,1.02,2.93,11,"WA","Bellevue","",""
"SGESC Fusion G01",929,1.42,1.72,24,"WA","Graham","Win PSPL Classic 2 (01) U16","WA Cup Bronze Div"
