"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname"
"Blackhills FC Black G02",1836,43.3,30.38,21,"WA","Olympia","RCL G02 Div 1",""
"PacNW Maroon G02",1835,46.65,27.94,12,"WA","Tukwila","RCL G02 Div 1",""
"Eastside FC Red G02",1832,26.9,47.58,12,"WA","Preston","RCL G02 Div 1",""
"Spokane Sounders A G02",1827,37.19,33.24,8,"WA","Spokane","RCL G02 Div 1",""
"WA Rush G02",1818,49.23,23.53,22,"WA","Everett","RCL G02 Div 1",""
"Crossfire Premier ECNL G02",1794,69.81,14.06,9,"WA","Redmond","","ECNL U16"
"Crossfire Premier A G02",1788,21,44.96,22,"WA","Redmond","RCL G02 Div 1",""
"Washington Timbers Red 1 G02",1783,35.02,25.93,20,"WA","Vancouver","","PTT Win G01 Premier"
"Seattle United Copa G02",1760,28.44,27.36,13,"WA","Seattle","RCL G02 Div 1",""
"Eastside Timbers Red G02",1707,31.27,17.13,14,"OR","Gresham","","PTT Win G02 Premier"
"Seattle United Tango G02",1705,19.62,27.02,20,"WA","Seattle","RCL G02 Div 2",""
"Wenatchee FC Black G02",1678,20.57,21.4,12,"WA","Wenatchee","PSPL WSPL U16",""
"WPFC Black G02",1664,24.91,16.07,21,"WA","Tacoma","RCL G02 Div 3",""
"PacNW Blue G02",1658,19.41,19.75,20,"WA","Tukwila","RCL G02 Div 3",""
"ETFC Force Black G02",1650,17.87,20.2,10,"OR","Eugene","","PTT Win G02 Premier"
"WPFC ECNL G02",1646,19.36,18.21,9,"WA","Tacoma","","ECNL U16"
"Three Rivers SC Black G02",1632,17.19,18.61,11,"WA","Pasco","RCL G02 Div 1",""
"RV Slammers Orange G02",1630,16.89,18.64,26,"WA","Auburn","RCL G02 Div 3",""
"Whatcom FC Rangers Gold G02",1619,14.94,19.56,25,"WA","Bellingham","RCL G02 Div 2",""
"Highline Premier Blue G02",1617,22.13,13.05,17,"WA","Burien","PSPL WNPL U16",""
"FPSC Fury Black G02",1613,18.71,14.97,17,"WA","Tacoma","PSPL WSPL U16",""
"NSC Green Velocity G02",1606,13.08,20.34,18,"WA","Woodinvile","NPSL Div 1 (02) U16",""
"Snohomish United Black G02",1580,16.42,13.58,12,"WA","Snohomish","RCL G02 Div 2",""
"Harbor Premier Green G02",1579,20.5,10.79,19,"WA","Gig Harbor","RCL G02 Div 2",""
"GS Surf A G02",1571,11.26,18.61,8,"WA","Bothel","RCL G02 Div 2",""
"WA Rush Nero G02",1550,11.03,16.4,21,"WA","Everett","RCL G02 Div 3",""
"FC Portland Navy G02",1549,17.23,10.44,19,"OR","Portland","","PTT Win G02 Premier"
"Westside Timbers Copa TS G02",1538,8.64,19.24,18,"OR","Beaverton","","PTT Win G02 Premier"
"TC United Navy G02",1529,12.26,12.78,14,"WA","Lacey","PSPL WSPL U16",""
"NW United Black G02",1521,8.82,16.76,23,"WA","Burlington","RCL G02 Div 2",""
"Washington Timbers Red 2 G02",1493,12.09,10.07,20,"WA","Vancouver","","PTT Win G02 Div 1 Red"
"FC Edmonds Black Ice G02",1486,8.65,13.43,24,"WA","Edmonds","PSPL Classic 1 U16",""
"Breakers Black Andersson G02",1481,10.31,10.89,12,"WA","Spokane","PSPL WNPL U16",""
"FWFC Blue G02",1476,10.11,10.75,23,"WA","Federal Way","RCL G02 Div 2",""
"NC Alliance FC G02",1476,10.38,10.43,19,"WA","","PSPL Classic 1 U16",""
"MVP Marauders Navy G02",1476,13.07,8.28,16,"WA","Maple Valley","PSPL WNPL U16",""
"Kitsap Alliance Red G02",1475,10.56,10.21,22,"WA","Silverdale","RCL G02 Div 3",""
"MRFC Blue G02",1464,10.62,9.38,15,"WA","Bonney Lake","PSPL WSPL U16",""
"Rogue Valley Timbers Red G02",1463,13.52,7.35,8,"OR","Medford","","PTT Win G02 Premier"
"Eastside FC White G02",1453,8.6,10.76,21,"WA","Preston","RCL G02 Div 3",""
"ISC Gunners A G02",1442,7.51,11.41,19,"WA","Issaquah","PSPL WNPL U16",""
"Crossfire OR Blue I G02",1438,10.63,7.81,13,"OR","Tigard","","PTT Win G02 Div 1 White"
"NPSA Titans Navy G02",1425,13.97,5.45,11,"WA","Bellevue","PSPL WSPL U16",""
"NEU White G02",1417,10.45,6.88,10,"OR","Portland","","PTT Win G02 Premier"
"GS Surf B G02",1411,9.23,7.5,17,"WA","Bothel","RCL G02 Div 2",""
"FC Portland White G02",1410,11.19,6.12,8,"OR","Portland","","PTT Win G02 Div 1 Red"
"Pelada FA McKenzie Strykers FC G02",1402,10.44,6.2,9,"OR","","","PTT Win G02 Div 1 Red"
"Crossfire Select Reimbold G02",1399,9.44,6.72,14,"WA","Redmond","NPSL Div 1 (02) U16",""
"Washington Timbers White 1 G02",1399,8.47,7.49,11,"WA","Vancouver","","PTT Win G02 Div 1 White"
"Kent United Green G02",1396,9.03,6.88,20,"WA","Kent","RCL G02 Div 3",""
"Cheney Storm FC G02",1395,12.08,5.12,16,"WA","Cheney","PSPL WSPL U16",""
"Mukilteo Rush G02",1386,9.25,6.29,15,"WA","Mukilteo","NPSL Div 2 (02) U16",""
"Seattle United Shoreline Blue G02",1349,7.77,5.78,16,"WA","Seattle","NPSL Div 1 (02) U16",""
"Eastside FC Blue G02",1341,6.06,7.01,19,"WA","Preston","RCL G02 Div 4",""
"Crossfire Select Miller G02",1338,9.04,4.61,19,"WA","Redmond","NPSL Div 1 (02) U16",""
"LSDSC Ladybugs G02",1331,9.68,4.09,11,"WA","","NPSL Div 2 (02) U16",""
"WAFC Cobras G02",1327,9.78,3.95,8,"OR","Woodburn","","PTT Win G02 Div 1 White"
"PacNW White G02",1323,7.04,5.34,15,"WA","Tukwila","RCL G02 Div 4",""
"Cascade Rush Revolution G02",1305,6.65,4.97,23,"OR","","","PTT Win G02 Div 1 White"
"Spokane Sounders B G02",1305,6.18,5.34,15,"WA","Spokane","RCL G02 Div 3",""
"Spokane Scotties Klein G02",1305,9.85,3.35,8,"WA","Spokane","PSPL Classic 1 U16",""
"MRFC White G02",1287,6.63,4.42,15,"WA","Bonney Lake","PSPL Classic 2 U16",""
"MIFC Thunder G02",1273,7.84,3.4,13,"WA","Mercer Island","NPSL Div 1 (02) U16",""
"NK Fury G02",1272,3.94,6.67,16,"WA","Poulsbo","NPSL Div 1 (02) U16",""
"ETFC Force Red G02",1271,4.16,6.29,12,"OR","Eugene","","PTT Win G02 Div 1 Red"
"Thelo Fury G02",1257,4.87,4.87,12,"OR","Milwaukie","","PTT Win G02 Div 1 White"
"PSA Force G02",1245,5.73,3.81,15,"WA","Marysville","NPSL Div 1 (02) U16",""
"Mukilteo Rush Nero G02",1243,4.48,4.81,13,"WA","Mukilteo","NPSL Div 2 (02) U16",""
"ASE Emerald G02",1230,7.59,2.6,8,"WA","Pasco","PSPL Classic 2 U16",""
"Irish FC Gators G02",1229,5.23,3.73,10,"WA","","NPSL Div 2 (02) U16",""
"HSC Galaxy G02",1219,3.74,4.89,16,"OR","Hillsboro","","PTT Win G02 Div 1 White"
"RSA Elite Giove G02",1213,4.92,3.55,17,"WA","Puyallup","PSPL Classic 1 U16",""
"Bremerton United Force G02",1204,3.74,4.42,8,"WA","Bremerton","NPSL Div 2 (02) U16",""
"Westside Timbers Samba TS G02",1191,2.96,5.09,18,"OR","Beaverton","","PTT Win G02 Div 1 Red"
"Blackhills FC Red G02",1188,4.57,3.21,15,"WA","Olympia","RCL G02 Div 4",""
"Harbor Premier White G02",1186,3.17,4.57,9,"WA","Gig Harbor","RCL G02 Div 4",""
"Dragons FC G02",1185,3.72,3.88,17,"WA","Seattle","PSPL Classic 1 U16",""
"Oregon Trails FC Fusion G02",1175,4.69,2.87,17,"OR","","","PTT Win G02 Div 1 White"
"NSC White Adrenaline G02",1168,3.75,3.41,12,"WA","Woodinvile","NPSL Div 2 (02) U16",""
"Whatcom FC Rangers Blue G02",1168,5.9,2.17,18,"WA","Bellingham","RCL G02 Div 4",""
"Seattle United S Blue G02",1165,4.31,2.91,13,"WA","Seattle","NPSL Div 2 (02) U16",""
"ISC Gunners B Blue G02",1159,3.63,3.31,20,"WA","Issaquah","PSPL Classic 2 U16",""
"THUSC Rapids G02",1122,3.77,2.48,13,"OR","Tualatin Hills","","PTT Win G02 Div 1 White"
"West Narrows FC Blue G02",1114,5.68,1.55,8,"WA","Gig Harbor","PSPL Classic 2 U16",""
"Three Rivers SC Green G02",1114,4.1,2.14,11,"WA","Pasco","RCL G02 Div 4",""
"Seattle United NE Blue G02",1094,2.45,3.13,16,"WA","Seattle","NPSL Div 2 (02) U16",""
"Fuerza FC Academy G02",1092,3.36,2.25,8,"WA","Marysville","PSPL Classic 2 U16",""
"MVP Marauders White G02",1089,2.53,2.93,15,"WA","Maple Valley","PSPL Classic 2 U16",""
"Eastside Timbers Black G02",1088,2.97,2.47,14,"OR","Gresham","","PTT Win G02 Div 1 White"
"TC United White G02",1077,3.31,2.07,10,"WA","Lacey","PSPL Classic 2 U16",""
"Newport FC G02",1067,3.51,1.81,10,"WA","Bellevue","NPSL Div 2 (02) U16",""
"GS Surf C G02",1029,2.04,2.4,9,"WA","Bothel","RCL G02 Div 4",""
"NW United Red G02",1026,2.44,1.96,10,"WA","Burlington","",""
"NPSA Titans White G02",996,2.32,1.68,10,"WA","Bellevue","PSPL Classic 2 U16",""
"Snohomish United Red G02",977,0.92,3.7,15,"WA","Snohomish","RCL G02 Div 4",""
"Cascade FC Green G02",966,1.53,2.06,11,"WA","Snoqualmie","PSPL Classic 2 U16",""
"ISC Gunners B White G02",965,2.66,1.18,11,"WA","Issaquah","PSPL Classic 2 U16",""
"BIFC Blue G02",945,1.52,1.8,11,"WA","Bainbridge","NPSL Div 2 (02) U16",""
"North Mason Cascadia FC G02",935,1.57,1.62,10,"WA","","",""
