"date","home.team","home.score","away.team","away.score","venue","home.adv","away.adv","surface"
2017-06-02,"Crossfire Premier A G02",5,"ISC Gunners A G02",0,"Showcase of Champions Girls U16","neutral","neutral","Grass"
2017-06-03,"ISC Gunners A G02",1,"Westside Timbers Copa TS G02",3,"Showcase of Champions Girls U16","neutral","neutral","Grass"
2017-06-03,"MVP Marauders Navy G02",0,"Crossfire Premier A G02",3,"Showcase of Champions Girls U16","neutral","neutral","Grass"
2017-06-03,"ETFC Force Black G02",0,"Crossfire Premier ECNL G02",9,"Showcase of Champions Girls U16","neutral","neutral","Grass"
2017-06-03,"MVP Marauders Navy G02",0,"ETFC Force Black G02",0,"Showcase of Champions Girls U16","neutral","neutral","Grass"
2017-06-03,"Crossfire Premier A G02",3,"Westside Timbers Copa TS G02",0,"Showcase of Champions Girls U16","neutral","neutral","Grass"
2017-06-04,"MVP Marauders Navy G02",0,"Westside Timbers Copa TS G02",0,"Showcase of Champions Girls U16","neutral","neutral","Grass"
2017-06-04,"ETFC Force Black G02",2,"ISC Gunners A G02",0,"Showcase of Champions Girls U16","neutral","neutral","Grass"
2017-06-04,"Westside Timbers Copa TS G02",0,"Crossfire Premier ECNL G02",8,"Showcase of Champions Girls U16","neutral","neutral","Grass"
2017-06-04,"ETFC Force Black G02",0,"Crossfire Premier A G02",6,"Showcase of Champions Girls U16","neutral","neutral","Grass"
2017-06-04,"MVP Marauders Navy G02",1,"ISC Gunners A G02",1,"Showcase of Champions Girls U16","neutral","neutral","Grass"
2017-06-16,"PSA Force G02",2,"Seattle United Shoreline Blue G02",2,"Skagit Firecracker Div. 1 U16","neutral","neutral","Grass"
2017-06-16,"NPSA Titans Navy G02",6,"Seattle United NE Blue G02",1,"Skagit Firecracker Div. 2 U16","neutral","neutral","Grass"
2017-06-16,"ISC Gunners B Blue G02",1,"Dragons FC G02",2,"Starfire Spring Classic GU16","neutral","neutral","Turf"
2017-06-16,"MIFC Thunder G02",0,"Missoula Strikers White G02",0,"Starfire Spring Classic GU16","neutral","neutral","Turf"
2017-06-17,"Seattle United Shoreline Blue G02",0,"NC Alliance FC G02",3,"Skagit Firecracker Div. 1 U16","neutral","neutral","Grass"
2017-06-17,"NW United Black G02",6,"PSA Force G02",0,"Skagit Firecracker Div. 1 U16","neutral","neutral","Grass"
2017-06-17,"NC Alliance FC G02",4,"PSA Force G02",1,"Skagit Firecracker Div. 1 U16","neutral","neutral","Grass"
2017-06-17,"MRFC Blue G02",4,"NPSA Titans Navy G02",1,"Skagit Firecracker Div. 2 U16","neutral","neutral","Grass"
2017-06-17,"Seattle United NE Blue G02",4,"Cascade FC Green G02",0,"Skagit Firecracker Div. 2 U16","neutral","neutral","Grass"
2017-06-17,"Cascade FC Green G02",0,"NPSA Titans Navy G02",5,"Skagit Firecracker Div. 2 U16","neutral","neutral","Grass"
2017-06-17,"Whatcom FC Rangers Blue G02",4,"BIFC Black G02",1,"Skagit Firecracker Div. 3 U16","neutral","neutral","Grass"
2017-06-17,"NPSA Titans White G02",1,"NW United Red G02",2,"Skagit Firecracker Div. 3 U16","neutral","neutral","Grass"
2017-06-17,"BIFC Black G02",2,"NPSA Titans White G02",0,"Skagit Firecracker Div. 3 U16","neutral","neutral","Grass"
2017-06-17,"NW United Red G02",1,"Whatcom FC Rangers Blue G02",3,"Skagit Firecracker Div. 3 U16","neutral","neutral","Grass"
2017-06-17,"Fraser Valley FC G02",5,"Dragons FC G02",0,"Starfire Spring Classic GU16","neutral","neutral","Turf"
2017-06-17,"Missoula Strikers White G02",0,"ISC Gunners B White G02",0,"Starfire Spring Classic GU16","neutral","neutral","Turf"
2017-06-17,"ISC Gunners B Blue G02",1,"Fraser Valley FC G02",1,"Starfire Spring Classic GU16","neutral","neutral","Turf"
2017-06-17,"Dragons FC G02",1,"MIFC Thunder G02",1,"Starfire Spring Classic GU16","neutral","neutral","Unk"
2017-06-17,"ISC Gunners B Blue G02",2,"Missoula Strikers White G02",1,"Starfire Spring Classic GU16","neutral","neutral","Turf"
2017-06-17,"ISC Gunners B White G02",0,"MIFC Thunder G02",9,"Starfire Spring Classic GU16","neutral","neutral","Turf"
2017-06-18,"NW United Black G02",5,"Seattle United Shoreline Blue G02",0,"Skagit Firecracker Div. 1 U16","neutral","neutral","Grass"
2017-06-18,"NC Alliance FC G02",2,"NW United Black G02",3,"Skagit Firecracker Div. 1 U16","neutral","neutral","Grass"
2017-06-18,"NW United Black G02",0,"NC Alliance FC G02",0,"Skagit Firecracker Div. 1 U16","neutral","neutral","Grass"
2017-06-18,"MRFC Blue G02",4,"Seattle United NE Blue G02",0,"Skagit Firecracker Div. 2 U16","neutral","neutral","Grass"
2017-06-18,"Cascade FC Green G02",0,"MRFC Blue G02",6,"Skagit Firecracker Div. 2 U16","neutral","neutral","Grass"
2017-06-18,"MRFC Blue G02",1,"NPSA Titans Navy G02",0,"Skagit Firecracker Div. 2 U16","neutral","neutral","Grass"
2017-06-18,"NPSA Titans White G02",0,"Whatcom FC Rangers Blue G02",3,"Skagit Firecracker Div. 3 U16","neutral","neutral","Grass"
2017-06-18,"BIFC Black G02",1,"NW United Red G02",5,"Skagit Firecracker Div. 3 U16","neutral","neutral","Grass"
2017-06-18,"Whatcom FC Rangers Blue G02",4,"NW United Red G02",1,"Skagit Firecracker Div. 3 U16","neutral","neutral","Grass"
2017-06-18,"ISC Gunners B White G02",0,"Fraser Valley FC G02",8,"Starfire Spring Classic GU16","neutral","neutral","Turf"
2017-06-18,"Fraser Valley FC G02",3,"MIFC Thunder G02",0,"Starfire Spring Classic GU16","neutral","neutral","Turf"
2017-06-23,"Silver FC G02",0,"Whatcom FC Rangers Gold G02",5,"Baker Blast U16","neutral","neutral","Grass"
2017-06-23,"NSC White Adrenaline G02",2,"Irish FC Gators G02",1,"Baker Blast U16","neutral","neutral","Grass"
2017-06-23,"FC Edmonds Black Ice G02",2,"Whatcom FC Rangers Gold G03",1,"Baker Blast U16","neutral","neutral","Grass"
2017-06-23,"Westside Timbers Samba TS G02",0,"Eastside Timbers Red G02",4,"Clash At the Border Super","neutral","neutral","Grass"
2017-06-23,"Eastside Timbers Red G02",2,"Blackhills FC Black G02",1,"Clash At the Border Super","neutral","neutral","Grass"
2017-06-23,"Washington Timbers Red 2 G02",0,"Highline Premier Blue G02",0,"Clash At the Border Super","neutral","neutral","Grass"
2017-06-23,"Eastside Timbers Black G02",1,"Oregon Trails FC Fusion G02",2,"Clash At the Border Gold/Silver/Bronze","neutral","neutral","Grass"
2017-06-23,"Cheney Storm FC G02",7,"RSA Elite Giove G02",0,"Clash At the Border Gold/Silver/Bronze","neutral","neutral","Grass"
2017-06-23,"Longview RF Athletics G02",3,"Washington Timbers White 1 G02",1,"Clash At the Border Gold/Silver/Bronze","neutral","neutral","Grass"
2017-06-23,"Cascade Rush Revolution G02",2,"Three Rivers SC Green G02",2,"Clash At the Border Gold/Silver/Bronze","neutral","neutral","Grass"
