"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname","other .colname"
"PacNW Maroon G04",1967,42.62,76.39,31,"WA","Tukwila","RCL G04 Div 1","","FWRL NW G04"
"WPFC ECNL G04",1843,29.32,47.1,27,"WA","Tacoma","RCL G04 Div 1","ECNL U14",""
"Crossfire OR United ECNL G04",1816,43.07,26.58,22,"OR","","PTT G04 Premier Red","ECNL U14","FWRL NW G04"
"Eastside Timbers Red G04",1774,33.04,25.93,22,"OR","Gresham","PTT G04 Premier Red","Spr OYS G04 Premier Red","FWRL NW G04"
"Eastside FC Reign 2 G04",1766,36.32,22.31,25,"WA","Preston","RCL G04 Div 1","","FWRL NW G04"
"GS Surf A G04",1765,27.97,28.69,39,"WA","Bothel","RCL G04 Div 1","","FWRL NW G04"
"FPSC Fury Black G04",1707,25.8,20.78,33,"WA","Tacoma","PSPL WNPL U14","Spr PSPL - '04 Super 1 U14",""
"Spokane Sounders A G04",1699,21.56,23.51,30,"WA","Spokane","RCL G04 Div 1","",""
"Idaho Rush Premier G04",1698,29.11,17.33,24,"ID","Boise","Idaho D3 Div 1 U14","","FWRL NW G04"
"Seattle United Copa G04",1687,20.21,23.11,26,"WA","Seattle","RCL G04 Div 1","","FWRL NW G04"
"WA Rush G04",1684,18.27,25.06,36,"WA","Everett","RCL G04 Div 2","",""
"Washington Timbers Red 1 G04",1649,22.4,15.99,27,"WA","Vancouver","PTT G04 Premier Red","Spr OYS G04 Premier Red",""
"ASE Emerald G04",1641,12.94,26.36,28,"WA","Pasco","PSPL WNPL U14","Spr PSPL - '04 Super 1 U14",""
"TC United Navy G04",1608,15.76,17.23,14,"WA","Lacey","PSPL WNPL U14","Spr PSPL - '04 Super 1 U14",""
"FC Portland ECNL G04",1603,16.42,15.89,10,"OR","Portland","","ECNL U14",""
"Harbor Premier Green G04",1596,23.04,10.79,25,"WA","Gig Harbor","RCL G04 Div 1","",""
"Seattle United Tango G04",1592,14.67,16.54,33,"WA","Seattle","RCL G04 Div 2","",""
"Crossfire Premier ECNL G04",1582,20.08,11.22,23,"WA","Redmond","RCL G04 Div 2","ECNL U14",""
"FC Nova ECNL G04",1580,22.74,9.77,12,"ID","Boise","Idaho D3 Div 1 U14","ECNL U14",""
"ETFC Akers Black G04",1571,14.73,14.22,32,"OR","Eugene","PTT G04 Premier Red","Spr OYS G04 Premier Red",""
"PacNW Blue G04",1565,16.05,12.52,33,"WA","Tukwila","RCL G04 Div 2","",""
"Westside Timbers Copa TS G04",1554,11.44,16.3,38,"OR","Beaverton","PTT G04 Premier Red","Spr OYS G04 Premier Red",""
"Crossfire Premier B G04",1553,10.35,17.86,38,"WA","Redmond","RCL G04 Div 3","",""
"MVP Marauders Navy G04",1509,12.25,11.13,28,"WA","Maple Valley","PSPL WNPL U14","Spr PSPL - '04 Super 1 U14",""
"Whatcom FC Rangers Gold G04",1507,13.09,10.24,28,"WA","Bellingham","RCL G04 Div 2","",""
"Crossfire OR Blue I G04",1497,13.07,9.58,34,"OR","Tigard","PTT G04 Premier White","Spr OYS G04 Premier Red",""
"FWFC Blue G04",1496,15.11,8.24,31,"WA","Federal Way","RCL G04 Div 1","",""
"Bend FC Timbers Red G04",1476,11.88,9.12,26,"OR","Bend","PTT G04 Premier White","Spr OYS G04 Premier White",""
