"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","other .colname"
"Crossfire Premier A G05",1738,22.04,30.14,22,"WA","Redmond","RCL G05 Div 1",""
"FC Nova ECNL G05",1531,19.4,8.16,11,"ID","Boise","Idaho D3 Div 1 U14",""
"Seattle United Copa G05",1488,12.55,9.37,11,"WA","Seattle","RCL G05 Div 1",""
"GS Surf A G05",1486,7.6,15.29,24,"WA","Bothel","RCL G05 Div 1",""
"ISC Gunners A G05",1470,10.28,10.08,33,"WA","Issaquah","PSPL WNPL U13",""
"WPFC ECNL G05",1462,10.16,9.67,20,"WA","Tacoma","RCL G05 Div 1",""
"FC Portland Navy G05",1443,7.05,12.22,17,"OR","Portland","PTT G05 Premier Red",""
"Eastside FC Reign G05",1440,10.14,8.35,17,"WA","Preston","RCL G05 Div 1",""
"Snohomish United Black G05",1422,10.57,7.06,27,"WA","Snohomish","RCL G05 Div 1",""
"NEU White G05",1366,6.94,7.3,25,"OR","Portland","PTT G05 Premier Red",""
"RV Slammers Orange G05",1323,4.81,7.81,17,"WA","Auburn","RCL G05 Div 2",""
"PacNW Maroon G05",1319,5.55,6.58,24,"WA","Tukwila","RCL G05 Div 2",""
"FC Edmonds Quiet Riot G05",1299,4.43,7.19,32,"WA","Edmonds","PSPL WNPL U13",""
"Crossfire Premier B G05",1297,7.54,4.14,26,"WA","Redmond","RCL G05 Div 2",""
"ETFC Chelsea Black G05",1259,6.34,3.79,20,"OR","Eugene","PTT G05 Premier Red",""
"Crossfire Premier C G05",1258,4.15,5.76,30,"WA","Redmond","RCL G05 Div 2",""
"THUSC Neon Black G05",1250,5.26,4.3,24,"OR","Tualatin Hills","PTT G05 Premier Red",""
"Washington Timbers Red 1 G05",1233,3.62,5.54,20,"WA","Vancouver","PTT G05 Premier Red",""
"Indie Chicas Lime G05",1231,4.75,4.19,15,"ID","Eagle","Idaho D3 Div 1 U14",""
"PCU Red 1 G05",1226,4.9,3.92,27,"OR","Portland","PTT G05 Premier Red",""
"Spokane Sounders A G05",1203,4.42,3.68,24,"WA","Spokane","RCL G05 Div 1",""
"ASE Emerald G05",1201,7.14,2.26,22,"WA","Pasco","PSPL WNPL U13",""
"WA Rush G05",1197,4.37,3.59,22,"WA","Everett","RCL G05 Div 1",""
"BSC Portland Black G05",1189,2.7,5.5,25,"OR","Portland","PTT G05 Premier White",""
"Eastside FC White G05",1174,3.7,3.62,31,"WA","Preston","RCL G05 Div 2",""
"Seattle United Tango G05",1171,4.71,2.78,23,"WA","Seattle","RCL G05 Div 2",""
"Seattle Celtic Green G05",1165,4.05,3.09,20,"WA","Seattle","PSPL WNPL U13",""
"Canyon Optimist Inferno G05",1164,4.9,2.54,14,"ID","","Idaho D3 Div 2 U13",""
"Harbor Premier Green G05",1156,3.65,3.23,20,"WA","Gig Harbor","RCL G05 Div 2",""
"Bellevue United Blue Angels G05",1155,2.95,3.98,22,"WA","Bellevue","NPSL Div 1 (05) U13","Founders Cup G05 Div A"
"WUFC Gold G05",1148,2.22,5.04,24,"OR","West Linn","PTT G05 Premier White",""
"Whatcom FC Rangers Gold G05",1146,4.84,2.28,21,"WA","Bellingham","RCL G05 Div 1",""
"Cascade Rush Clash G05",1140,4.89,2.17,17,"OR","","PTT G04 Premier White",""
"MVP Marauders Navy G05",1122,4.16,2.24,16,"WA","Maple Valley","PSPL WNPL U13",""
"Dragons FC G05",1103,4.38,1.86,34,"WA","Seattle","PSPL WSPL 1 U13",""
"Seattle United Samba G05",1103,3.09,2.64,27,"WA","Seattle","RCL G05 Div 3",""
"Real Boise CF Malaga Fire G05",1101,3.94,2.04,14,"ID","","Idaho D3 Div 2 U13",""
